author	publication_year	title	subject_topic
Cleve, Friedrich August (1743-1796)	1792	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1793	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1787	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1787	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1787	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1794	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1787	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1795	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1795	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1791	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
